Ticker,Groups,Current Price,Setup Type,Key Support,Key Resistance,Analyst Support,Buy Limit Order,Trailing Stop,Take Profit,Reward/Risk,Setup Status,Setup Score,Setup Score Breakdown,Evidence Score,Evidence Score Breakdown
MU,AI Memory / Storage,$959.48,Pullback at recent support,$954.13,"$1,255.00",Strong: broad Buy/Outperform support and multiple June target increases,Place buy limit at $959.48,Use $115.14 trailing stop / 12.0%; initial invalidation below $893.34,"Take profit at $1,255.00",4.47,Ready / near buy zone,100,SS=100; EP=25; SQ=20; RR=20; TS=15; AS=10; ER=10,86,ES=86; PD=20; SR=15; MA=15; AD=6; TM=20; RG=10
ASML,AI Chips / Semiconductors,"$1,801.86",Pullback at 20-EMA,"$1,800.89","$1,999.96","Strong: multiple July upgrades/reiterations and targets of $2,000–$2,500","Place buy limit at $1,801.86","Use $159.93 trailing stop / 8.9%; initial invalidation below $1,736.92","Take profit at $1,999.96",3.05,Ready / near buy zone,100,SS=100; EP=25; SQ=20; RR=20; TS=15; AS=10; ER=10,86,ES=86; PD=20; SR=15; MA=15; AD=6; TM=20; RG=10
TLN,"AI Power, Grid & Electrification — Core; AI Nuclear / Power / Utilities",$377.41,Pullback at 50-SMA,$376.90,$451.28,"Stable/mixed: several bullish targets, but latest Jefferies Hold cut to $422",Place buy limit at $377.41,Use $38.73 trailing stop / 10.3%; initial invalidation below $361.41,Take profit at $451.28,4.62,Ready / near buy zone,97,SS=97; EP=25; SQ=20; RR=20; TS=15; AS=7; ER=10,86,ES=86; PD=20; SR=15; MA=15; AD=6; TM=20; RG=10
STX,AI Memory / Storage,$908.10,Pullback at recent support,$888.17,"$1,144.18",Strong: several June–July target raises and an upgrade to Overweight,Place buy limit at $898.13,Use $108.97 trailing stop / 12.0%; initial invalidation below $826.06,"Take profit at $1,144.18",3.41,Ready / near buy zone,97,SS=97; EP=22; SQ=20; RR=20; TS=15; AS=10; ER=10,86,ES=86; PD=20; SR=15; MA=15; AD=6; TM=20; RG=10
NRG,"AI Power, Grid & Electrification — Core; AI Nuclear / Power / Utilities",$139.98,Pullback at 20-EMA,$139.43,$189.38,Strong: recent Buy/Overweight calls and targets of $184–$226,Place buy limit at $139.98,Use $10.71 trailing stop / 7.7%; initial invalidation below $135.14,Take profit at $189.38,10.21,Ready / near buy zone,95,SS=95; EP=25; SQ=20; RR=20; TS=10; AS=10; ER=10,86,ES=86; PD=20; SR=15; MA=15; AD=6; TM=20; RG=10
DLR,AI Data Center Operators / REITs,$178.41,Pullback at recent support,$178.20,$206.76,Strong: multiple Buy/Outperform ratings and targets of $200–$225,Place buy limit at $178.41,Use $8.06 trailing stop / 4.5%; initial invalidation below $174.97,Take profit at $206.76,8.25,Ready / near buy zone,95,SS=95; EP=25; SQ=20; RR=20; TS=10; AS=10; ER=10,86,ES=86; PD=20; SR=15; MA=15; AD=6; TM=20; RG=10
STRL,AI Cooling / Thermal Management,$719.34,Pullback at 20-EMA,$723.92,"$1,005.68",Strong: Buy/Overweight support and recent targets of $922–$950,Place buy limit at $719.34,Use $86.32 trailing stop / 12.0%; initial invalidation below $682.85,"Take profit at $1,005.68",7.85,Ready / near buy zone,95,SS=95; EP=25; SQ=20; RR=20; TS=10; AS=10; ER=10,86,ES=86; PD=20; SR=15; MA=15; AD=6; TM=20; RG=10
META,Cloud Providers / Hyperscalers,$627.17,Pullback at recent support,$626.00,$793.65,"Strong: July Buy/Overweight reiterations and targets of $835–$1,000",Place buy limit at $627.17,Use $54.93 trailing stop / 8.8%; initial invalidation below $604.03,Take profit at $793.65,7.19,Ready / near buy zone,95,SS=95; EP=25; SQ=20; RR=20; TS=10; AS=10; ER=10,86,ES=86; PD=20; SR=15; MA=15; AD=6; TM=20; RG=10
EXC,AI Nuclear / Power / Utilities,$46.70,Pullback at 20-EMA,$46.77,$50.18,Modest/mixed: recent Hold ratings and target cuts; latest Truist target $50,Place buy limit at $46.70,Use $2.10 trailing stop / 4.5%; initial invalidation below $45.93,Take profit at $50.18,4.54,Ready / near buy zone,94,SS=94; EP=25; SQ=20; RR=20; TS=15; AS=4; ER=10,86,ES=86; PD=20; SR=15; MA=15; AD=6; TM=20; RG=10
CIEN,AI Networking / Interconnects,$397.16,Pullback at recent support,$396.95,$637.51,"Stable/mixed: mostly higher targets, offset by a July downgrade to Hold",Place buy limit at $397.16,Use $47.66 trailing stop / 12.0%; initial invalidation below $373.81,Take profit at $637.51,10.29,Ready / near buy zone,92,SS=92; EP=25; SQ=20; RR=20; TS=10; AS=7; ER=10,86,ES=86; PD=20; SR=15; MA=15; AD=6; TM=20; RG=10
2308.TW,AI Cooling / Thermal Management,"$1,880.00",Pullback at recent support,"$1,880.00","$2,571.55",N/A,"Place buy limit at $1,880.00","Use $225.60 trailing stop / 12.0%; initial invalidation below $1,788.00","Take profit at $2,571.55",7.52,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
ECL,AI Cooling / Thermal Management,$266.88,Pullback at recent support,$266.13,$307.61,N/A,Place buy limit at $266.88,Use $12.36 trailing stop / 4.6%; initial invalidation below $261.19,Take profit at $307.61,7.15,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
CLS,AI Networking / Interconnects,$335.50,Pullback at recent support,$331.14,$474.03,N/A,Place buy limit at $333.32,Use $40.26 trailing stop / 12.0%; initial invalidation below $312.64,Take profit at $474.03,6.80,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
AMZN,Cloud Providers / Hyperscalers,$244.85,Pullback at recent support,$244.41,$278.56,N/A,Place buy limit at $244.85,Use $12.79 trailing stop / 5.2%; initial invalidation below $239.29,Take profit at $278.56,6.07,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
PEG,"AI Power, Grid & Electrification — Utilities / steadier exposure; AI Nuclear / Power / Utilities",$79.58,Pullback at recent support,$79.39,$88.34,N/A,Place buy limit at $79.58,Use $3.58 trailing stop / 4.5%; initial invalidation below $78.13,Take profit at $88.34,6.02,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
WDC,AI Memory / Storage,$556.67,Pullback at 50-SMA,$557.34,$799.87,N/A,Place buy limit at $556.67,Use $66.80 trailing stop / 12.0%; initial invalidation below $515.22,Take profit at $799.87,5.87,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
AMAT,AI Chips / Semiconductors,$553.92,Pullback at recent support,$552.00,$739.67,N/A,Place buy limit at $553.92,Use $66.47 trailing stop / 12.0%; initial invalidation below $516.91,Take profit at $739.67,5.02,Ready / near buy zone,85,SS=85; EP=25; SQ=15; RR=20; TS=15; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
NEE,"AI Power, Grid & Electrification — Utilities / steadier exposure; AI Nuclear / Power / Utilities",$89.41,Pullback at recent support,$88.80,$98.03,N/A,Place buy limit at $89.41,Use $4.02 trailing stop / 4.5%; initial invalidation below $87.62,Take profit at $98.03,4.82,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
NBIS,AI Miners / HPC Hosting; AI Data Center Operators / REITs,$218.16,Pullback at 20-EMA,$218.53,$299.86,N/A,Place buy limit at $218.16,Use $26.18 trailing stop / 12.0%; initial invalidation below $200.63,Take profit at $299.86,4.66,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
CORZ,AI Miners / HPC Hosting; AI Data Center Operators / REITs,$23.62,Pullback at recent support,$23.57,$30.46,N/A,Place buy limit at $23.62,Use $2.83 trailing stop / 12.0%; initial invalidation below $22.14,Take profit at $30.46,4.62,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
NVT,AI Cooling / Thermal Management,$158.47,Pullback at recent support,$158.23,$184.64,N/A,Place buy limit at $158.47,Use $15.13 trailing stop / 9.5%; initial invalidation below $152.18,Take profit at $184.64,4.16,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
APH,AI Networking / Interconnects,$157.51,Pullback at recent support,$157.14,$178.52,N/A,Place buy limit at $157.51,Use $12.86 trailing stop / 8.2%; initial invalidation below $152.00,Take profit at $178.52,3.81,Ready / near buy zone,85,SS=85; EP=25; SQ=15; RR=20; TS=15; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
FIX,AI Cooling / Thermal Management,"$1,791.06",Pullback at 20-EMA,"$1,796.88","$2,073.18",N/A,"Place buy limit at $1,791.06","Use $202.19 trailing stop / 11.3%; initial invalidation below $1,716.00","Take profit at $2,073.18",3.76,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
NVDA,AI Chips / Semiconductors,$212.06,Pullback at 50-SMA,$209.59,$236.26,N/A,Place buy limit at $210.82,Use $14.92 trailing stop / 7.0%; initial invalidation below $203.62,Take profit at $236.26,3.53,Ready / near buy zone,85,SS=85; EP=25; SQ=20; RR=20; TS=10; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
AEP,"AI Power, Grid & Electrification — Utilities / steadier exposure; AI Nuclear / Power / Utilities",$133.07,Pullback at recent support,$132.92,$140.58,N/A,Place buy limit at $133.07,Use $5.99 trailing stop / 4.5%; initial invalidation below $130.71,Take profit at $140.58,3.18,Ready / near buy zone,85,SS=85; EP=25; SQ=15; RR=20; TS=15; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
JCI,AI Cooling / Thermal Management,$142.49,Pullback at 20-EMA,$142.15,$151.18,N/A,Place buy limit at $142.49,Use $9.00 trailing stop / 6.3%; initial invalidation below $138.55,Take profit at $151.18,2.21,Ready / near buy zone,83,SS=83; EP=25; SQ=20; RR=13; TS=15; AS=0; ER=10,80,ES=80; PD=20; SR=15; MA=15; AD=0; TM=20; RG=10
